club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country,base_club_name,location_new,latitude_new,longitude_new,location_old,latitude_old,longitude_old
Bayer 04 Leverkusen,Tom Starke,19.0,Goalkeeper,Leverkusen U19,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,Leverkusen,Leverkusen,51.0324743,6.9881194,,,
VfB Stuttgart,Andreas Hinkel,18.0,Right-Back,Stuttgart U19,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,Stuttgart,Stuttgart,48.7784485,9.1800132,,,
Eintracht Frankfurt,Jermaine Jones,18.0,Defensive Midfield,Frankfurt U19,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Christoph Preuß,18.0,Defensive Midfield,Frankfurt U19,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
Eintracht Frankfurt,Giuseppe Gemiti,19.0,Left-Back,Frankfurt U19,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,Frankfurt,Frankfurt,50.1106444,8.6820917,,,
SV Werder Bremen,Tim Borowski,20.0,Central Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Paul Stalteri,22.0,Right-Back,W. Bremen Res.,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Lars Schmedes,19.0,midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
FC Schalke 04,Sladan Peric,18.0,Centre-Back,Copenhagen U19,€250Th.,in,Summer,0.25,1 Bundesliga,2000,2000/2001,Germany,Copenhagen,Gelsenkirchen,51.5110321,7.0960124,,,
FC Schalke 04,Christian Mikolajczak,19.0,Defensive Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,2000,2000/2001,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
Bayern Munich,Markus Feulner,19.0,Central Midfield,FC Bayern U19,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
FC Schalke 04,Filip Trojan,18.0,Left Midfield,Schalke 04 U19,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
VfB Stuttgart,Kevin Kuranyi,19.0,Centre-Forward,Stuttgart U19,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,Stuttgart,Stuttgart,48.7784485,9.1800132,,,
1.FC Kaiserslautern,Torsten Reuter,18.0,Defensive Midfield,K'lautern U19,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,K'lautern,,,,,,
SV Werder Bremen,Simon Rolfes,19.0,Defensive Midfield,W. Bremen Res.,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Joey Di Iorio,19.0,Centre-Forward,W. Bremen Res.,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Enrico Kern,22.0,Centre-Forward,W. Bremen Res.,-,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Björn Schierenbeck,26.0,Centre-Back,W. Bremen Res.,-,out,Summer,,1 Bundesliga,2001,2001/2002,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
SV Werder Bremen,Danny Fütterer,25.0,Defensive Midfield,W. Bremen Res.,-,out,Summer,,1 Bundesliga,2001,2001/2002,Germany,W. Bremen,Bremen,53.0758196,8.8071646,,,
FC Energie Cottbus,Dawid Ditrich,17.0,Goalkeeper,Lechia U19,?,in,Summer,,1 Bundesliga,2001,2001/2002,Germany,Lechia,,,,,,
Bayern Munich,Bastian Schweinsteiger,17.0,Central Midfield,FC Bayern U19,-,in,Summer,,1 Bundesliga,2002,2002/2003,Germany,FC Bayern,Munich,48.1371079,11.5753822,,,
Borussia Dortmund,David Odonkor,18.0,Right Winger,B. Dortmund U19,-,in,Summer,,1 Bundesliga,2002,2002/2003,Germany,B. Dortmund,Dortmund,51.5142273,7.4652789,,,
FC Schalke 04,Mike Hanke,18.0,Centre-Forward,Schalke 04 U19,-,in,Summer,,1 Bundesliga,2002,2002/2003,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Volkan Ünlü,18.0,Goalkeeper,Schalke 04 U19,-,in,Summer,,1 Bundesliga,2002,2002/2003,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
FC Schalke 04,Fabian Lamotte,19.0,Right-Back,Schalke 04 U19,-,in,Summer,,1 Bundesliga,2002,2002/2003,Germany,FC Schalke 04,Gelsenkirchen,51.5110321,7.0960124,Gelsenkirchen,51.5110321,7.0960124
